Sr no,X,Type,Days.for.shipping.real,Days.for.shipping.scheduled,Benefit.per.order,Sales.per.customer,Delivery.Status,Late_delivery_risk,Category.Id,Category.Name,Customer.City,Customer.Country,Customer.Email,Customer.Fname,Customer.Id,Customer.Lname,Customer.Password,Customer.Segment,Customer.State,Customer.Street,Customer.Zipcode,Department.Id,Department.Name,Latitude,Longitude,Market,Order.City,Order.Country,Order.Customer.Id,order.date..DateOrders.,Order.Id,Order.Item.Cardprod.Id,Order.Item.Discount,Order.Item.Discount.Rate,Order.Item.Id,Order.Item.Product.Price,Order.Item.Profit.Ratio,Order.Item.Quantity,Sales,Order.Item.Total,Order.Profit.Per.Order,Order.Region,Order.State,Order.Status,Order.Zipcode,Product.Card.Id,Product.Category.Id,Product.Description,Product.Image,Product.Name,Product.Price,Product.Status,X.1,Shipping.Mode,X.2,Shipping_Time,Shipping_Date,Shipping_Year,Shipping_Month,date,Status,
1,147500,TRANSFER,5,4,186.2299957,387.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Mary,9641,Smith,XXXXXXXXX,Consumer,PR,473 High Plaza,725,7,Fan_shop,18.26135063,-66.37062836,Africa,Hurghada,Egipto,9641,19-09-2016,42999,1004,12,0.029999999,107414,399.980011,0.479999989,1,399.980011,387.980011,186.2299957,North Africa,Al Bahr al Ahmar,PENDING,NA,1004,45,NA,http:--images.acmesports.sports-Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,NA,Standard Class,NA,16:06,24,2016,9,24-09-2016,Delay,2016
2,163360,DEBIT,4,4,104.8899994,283.480011,Shipping on time,0,43,Camping & Hiking,Tucson,EE. UU.,XXXXXXXXX,Mary,8561,Smith,XXXXXXXXX,Home Office,AZ,4103 Heather Barn Heath,85719,7,Fan_shop,32.27982712,-110.9582291,Pacific Asia,Manila,Filipinas,8561,24-02-2016,28728,957,16.5,0.059999999,71917,299.980011,0.370000005,1,299.980011,283.480011,104.8899994,Southeast Asia,Capital Nacional,COMPLETE,NA,957,43,NA,http:--images.acmesports.sports-Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,NA,Standard Class,NA,08:20,28,2016,2,28-02-2016,Delay,2016
3,172708,CASH,0,0,25.17000008,114.3899994,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Jerry,9497,Horton,XXXXXXXXX,Consumer,PR,2749 Cotton Circle,725,4,Apparel,18.26240158,-66.37055969,Europe,Leeds,Reino Unido,9497,09-03-2015,16812,403,15.60000038,0.119999997,42014,129.9900055,0.219999999,1,129.9900055,114.3899994,25.17000008,Northern Europe,Inglaterra,CLOSED,NA,403,18,NA,http:--images.acmesports.sports-Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,NA,Same Day,NA,21:38:00,3,2015,9,09-03-2015,Ontime,2015
4,57259,DEBIT,4,4,132.1199951,363.9599915,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Elizabeth,8506,Smith,XXXXXXXXX,Consumer,PR,8142 Emerald Cider Jetty,725,3,Footwear,18.24907494,-66.37062836,LATAM,León,México,8506,05-02-2017,58383,191,36,0.090000004,146111,99.98999786,0.360000014,4,399.9599915,363.9599915,132.1199951,Central America,Guanajuato,COMPLETE,NA,191,9,NA,http:--images.acmesports.sports-Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,NA,Standard Class,NA,05:48:00,6,2017,5,05-06-2017,Delay,2017
5,73094,DEBIT,6,4,-81.90000153,181.9900055,Late delivery,1,48,Water Sports,Chicago,EE. UU.,XXXXXXXXX,Stephen,7832,Nguyen,XXXXXXXXX,Corporate,IL,1706 Colonial Plaza,60610,7,Fan_shop,41.89617157,-87.66995239,USCA,London,Canada,7832,25-12-2016,49600,1073,18,0.090000004,123968,199.9900055,-0.449999988,1,199.9900055,181.9900055,-81.90000153,Canada,Ontario,COMPLETE,NA,1073,48,NA,http:--images.acmesports.sports-Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,NA,Standard Class,NA,00:44,31,2016,12,31-12-2016,Delay,2016
6,18392,CASH,6,2,45.90000153,170,Late delivery,1,24,Women's Apparel,Longmont,EE. UU.,XXXXXXXXX,Cynthia,8681,Smith,XXXXXXXXX,Corporate,CO,9684 Middle Forest Autoroute,80501,5,Golf,40.1901207,-105.1010666,Europe,Colchester,Reino Unido,8681,29-09-2017,68705,502,30,0.150000006,171770,50,0.270000011,4,200,170,45.90000153,Northern Europe,Inglaterra,CLOSED,NA,502,24,NA,http:--images.acmesports.sports-Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,NA,Second Class,NA,22:04:00,5,2017,10,10-05-2017,Delay,2017
7,126747,PAYMENT,5,4,48.5,387.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Adam,9590,Smith,XXXXXXXXX,Consumer,PR,9879 Foggy Hills Freeway,725,7,Fan_shop,18.24869347,-66.37059021,Europe,Le Plessis-Robinson,Francia,9590,24-09-2015,18259,1004,12,0.029999999,45631,399.980011,0.129999995,1,399.980011,387.980011,48.5,Western Europe,Isla de Francia,PENDING_PAYMENT,NA,1004,45,NA,http:--images.acmesports.sports-Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,NA,Standard Class,NA,12:35,29,2015,9,29-09-2015,Delay,2015
8,34456,CASH,5,4,3,39.97999954,Late delivery,1,40,Accessories,New York,EE. UU.,XXXXXXXXX,Ruth,336,Armstrong,XXXXXXXXX,Consumer,NY,6146 Dewy Jetty,10029,6,Outdoors,40.6487999,-73.94863892,Europe,Roanne,Francia,336,09-09-2015,17209,893,10,0.200000003,43044,24.98999977,0.079999998,2,49.97999954,39.97999954,3,Western Europe,Auvernia-Ródano-Alpes,CLOSED,NA,893,40,NA,http:--images.acmesports.sports-Team+Golf+Pittsburgh+Steelers+Putter+Grip,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,NA,Standard Class,NA,04:43,14,2015,9,14-09-2015,Delay,2015
9,91681,PAYMENT,6,4,78.61000061,163.7700043,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Jessica,9903,Smith,XXXXXXXXX,Corporate,PR,8663 Crystal Bluff Walk,725,4,Apparel,18.25371552,-66.37052155,Africa,Rabat,Marruecos,9903,01-04-2017,50290,365,16.20000076,0.090000004,125678,59.99000168,0.479999989,3,179.9700012,163.7700043,78.61000061,North Africa,Rabat-Salé-Zemur-Zaer,PENDING_PAYMENT,NA,365,17,NA,http:--images.acmesports.sports-Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,NA,Standard Class,NA,02:28:00,10,2017,1,01-10-2017,Delay,2017
10,91563,PAYMENT,3,4,44.54999924,99,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Mary,3298,Ray,XXXXXXXXX,Corporate,PR,75 Noble Swale,725,5,Golf,18.21182442,-66.37058258,LATAM,Aracaju,Brasil,3298,03-05-2015,4357,502,1,0.01,10913,50,0.449999988,2,100,99,44.54999924,South America,Sergipe,PENDING_PAYMENT,NA,502,24,NA,http:--images.acmesports.sports-Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,NA,Standard Class,NA,14:06:00,8,2015,3,03-08-2015,Ontime,2015
